year,n_loans,n_approved,approval_rate,obs_default_rate,pred_ep_total,pred_ep_ratio,real_ep_total,real_ep_ratio,mc_ep_mean,mc_ep_p05,mc_ep_p25,mc_ep_p50,mc_ep_p75,mc_ep_p95,mc_var_5pct,mc_cvar_5pct,mc_pct_positive,forecast_error
2007,251,114,0.4541832669322709,0.2653061224489796,47730.72290293538,0.07328496134102873,-75565.804966985,-0.4237731449627454,92382.85718279028,78769.15095215176,86396.52333751883,92878.53765145912,98006.94148307794,105634.02121576066,78769.15095215176,74086.97444150943,1.0,123296.52786992038
2008,1562,708,0.4532650448143406,0.22105263157894736,313080.00185782544,0.06647637415111454,-114849.81152360901,-0.29080361870258153,642505.3458372927,603469.7295207451,625911.5972226864,643379.5745249665,658218.8632336512,680798.0869368645,603469.7295207451,596336.0335477148,1.0,427929.8133814344
2009,4716,2545,0.5396522476675149,0.23742277140335394,1805239.4784640465,0.08010248619190401,-14570.632313199749,-0.19684725016439272,3266859.6216156124,3165684.4490659893,3222555.764874166,3264951.3794510555,3312132.8121735076,3382076.2556295926,3165684.4490659893,3137491.7473654803,1.0,1819810.1107772463
2010,11536,5928,0.513869625520111,0.2470680218921032,3676099.165072742,0.0696598575006806,564895.4253660399,-0.18471537607819624,7548321.101617222,7381761.767402034,7480367.067269991,7550911.27870211,7615619.575211977,7706963.373610402,7381761.767402034,7343990.515091598,1.0,3111203.739706702
2011,21721,11652,0.5364393904516367,0.24831941332246893,9220464.512096234,0.07568258715803344,3997562.1075396715,-0.1610972771527987,17738363.98342333,17427717.63476291,17606677.73778174,17740378.129598726,17854945.54115138,18022254.340778142,17427717.63476291,17362438.97968446,1.0,5222902.404556562
2012,53367,33219,0.6224633200292315,0.19890955116346998,33742746.71617854,0.08008600158105218,104034965.7174502,0.152388198691838,65905445.06731388,65202714.2319125,65650503.46632956,65936714.04353932,66172843.87682299,66494526.14984723,65202714.2319125,65043307.139207184,1.0,-70292219.00127167
2013,134804,85156,0.6317023233731937,0.19510153380859796,109569431.37856747,0.0853554966166391,357317323.9278358,0.21677286045675045,214379712.29629225,213140838.6323333,213863600.22269845,214375899.06973416,214907849.0186295,215663856.3184302,213140838.6323333,212717997.8419172,1.0,-247747892.54926836
2014,223102,105394,0.4724027574831243,0.2263343568302084,114159521.46258163,0.07267410282101779,83722075.04509205,0.053805250946150636,224775305.8234165,223568682.21945897,224274094.86987987,224791428.9257131,225272700.36243254,225966344.159305,223568682.21945897,223258368.6902366,1.0,30437446.41748959
2015,375545,130170,0.3466162510484762,0.20209155758709052,109979215.84741738,0.05739389343430206,206448460.2024313,0.028555359974537262,217708432.71230397,216793676.05852556,217305235.6021188,217685350.97545674,218113762.50610435,218723180.90063083,216793676.05852556,216553926.96748412,1.0,-96469244.3550139
2016,293095,125768,0.42910319179788126,0.19335794324012986,112142906.53444278,0.06132468965959867,264560028.79218614,0.09819370144352935,245151005.4644819,243857700.05690393,244620945.346762,245078730.09310758,245750651.66983134,246457503.68601277,243857700.05690393,243539110.26857293,1.0,-152417122.25774336
2017,169300,86470,0.5107501476668636,0.2122587968217934,83471161.17236637,0.06786433308907601,186503368.9762081,0.0637264343588881,185410450.40977418,184149091.72693253,184917746.27872723,185408950.28451627,185898698.46627307,186693279.94354522,184149091.72693253,183844310.24194354,1.0,-103032207.80384172
2018,56311,33809,0.6003977908401555,0.21047629105502164,39082684.66529476,0.07782166807672934,73940832.48030853,0.059545892621003224,78215764.90438245,77417993.45824583,77879472.79462782,78228357.60491401,78539972.48790501,78969578.21122137,77417993.45824583,77242324.20798281,1.0,-34858147.815013774
